Words,Pronunciation
اترانے,I T_D R A_A N A_Y
اتراونا,I T_D R A_A V I N A_A
اتراک,I T_D R A_A K
اتراہٹ,I T_D R A_A H A T
اترایا,I T_D R A_A J A_A
اتراین,I T_D R A_A J A N
اترتا,U T_D A R T_D A_A
اترتی,U T_D A R T_D I_I
اترتیں,U T_D A R T_D I_I_N
اترتے,U T_D A R T_D A_Y
اترج,I T_D R I D_Z
اترسوں,U T_D T_D A R S O_O_N
اترن,U T_D R A N
اترنا,U T_D A R N A_A
اترنی,U T_D A R N I_I
اترنے,U T_D A R N A_Y
اترو,U T_D R U_U
اتروا,U T_D A R V A_A
اترواؤ,U T_D A R V A_A O_O
اترواؤں,U T_D A R V A_A O_O_N
اتروائی,U T_D A R V A_A I_I
اتروائیاں,U T_D A R V A_A I J A_A_N
اتروائیں,U T_D A R V A_A A_Y_N
اتروائیے,U T_D A R V A_A I_I A_Y
اتروائے,U T_D A R V A_A A_Y
اترواتا,U T_D A R V A_A T_D A_A
اترواتی,U T_D A R V A_A T_D I_I
اترواتیں,U T_D A R V A_A T_D A_Y_N
اترواتے,U T_D A R V A_A T_D A_Y
اتروانا,U T_D A R V A_A N A_A
اتروانی,U T_D A R V A_A N I_I
اتروانے,U T_D A R V A_A N A_Y
اتروایا,U T_D A R V A_A J A_A
اتروں,U T_D R O_O_N
اترپال,I T_D A R P A_A L
اترپردیش,U T_D A R P A R D_D A_Y S_H
اتری,U T_D R I_I
اتریا,I T_D R I J A_A
اتریو,U T_D R I_I V
اتریں,U T_D R A_Y_N
اتریے,U T_D R I_I A_Y
اترے,U T_D R A_Y
اتزاموں,I T_D Z A_A M O_O_N
اتسار,I T_D S A_A R
اتساع,I T_D T_D I S A_A
اتساہ,I T_D T_D A_A
اتسب,I T_D S I B
اتصاف,I T_D T_D I S A_A F
اتصال,I T_D T_D I S A_A L
اتصالی,I T_D T_D I S A_A L I_I
اتفاق,I T_D T_D I F A_A Q
اتفاقا,I T_D T_D I F A_A Q A N
اتفاقات,I T_D T_D I F A_A Q A_A T_D
اتفاقوں,I T_D T_D I F A_A Q O_O_N
اتفاقی,I T_D T_D I F A_A Q I_I
اتفاقیت,I T_D T_D I F A_A Q I_I J A T_D
اتفاقیوں,I T_D T_D I F A_A Q I_I O_O_N
اتفاقیہ,I T_D T_D I F A_A Q I J A_A
اتفاقیے,I T_D T_D I F A_A Q I_I A_Y
اتقا,I T_D T_D I N
اتقائی,I T_D T_D I Q A_A I_I
اتقائیت,I T_D T_D I Q A_A I J A T_D
اتقان,I T_D T_D I Q A_A N
اتقانی,I T_D T_D I Q A_A N I_I
اتقی,I T_D T_D I Q I_I
اتقیا,I T_D T_D I J A_A
اتل,A T_D L
اتلاف,I T_D L A_A F
اتلافی,I T_D L A_A F I_I
اتم,I T_D A M
اتمام,I T_D M A_A M
اتمامی,I T_D M A_A M I_I
اتماں,I T_D M A_A_N
اتمتا,I T_D I M T_D A_A
اتنا,I T_D N A_A
اتناسا,I T_D N A_A S A_A
اتنوں,I T_D N O_O_N
اتنی,I T_D N I_I
اتنے,I T_D N A_Y
اتوار,I T_D V A_A R
اتواروں,I T_D V A_A R O_O_N
اتواریں,I T_D V A_A R A_Y_N
اتواپ,I T_D V A_A P
اتول,A T_D V A L
اتڑی,U T_D R_R I_I
اتڑیاں,U T_D R_R I J A_A_N
اتکا,A T_D K A_A
اتکہ,A T_D K A_A
اتھار,A T_D_H A_A R
اتھارٹی,A T_D_H A_A R I T I_I
اتھارٹیز,A T_D_H A_A R I_I T I_I
اتھان,A T_D_H A_A N
اتھانیں,A T_D_H A_A N A_Y_N
اتھاہ,A T_D_H A_A
اتھر,A T_D_H A R
اتھرت,A T_D_H A R T_D
اتھریں,A T_D_H R A_Y_N
اتھل,A T_D_H A L
اتھلا,A T_D_H L A_A
اتھلواں,A T_D_H L V A_A_N
اتھلی,A T_D_H L I_I
اتھک,A T_D_H A K
اتہ,A T_D T_D A_A
اتہاس,I T_D T_D I H A_A S
اتہاسوں,I T_D T_D I H A_A S O_O_N
اتہام,I T_D T_D I H A_A M
اتہامی,I T_D T_D I H A_A M I_I
اتی,A T_D I_I
اتیاچار,I T_D J A_A T_S A_A R
اتیاچاری,I T_D J A_A T_S A_A R I_I
اتیت,A T_D I_I J A T_D
اتیس,A T_D I_I S
اتیسن,I T_D I_I S A N
اتیٹ,A T_D I_I T
اتے,A T_D T_D A_Y
اثاث,A S S A_A S
اثاثوں,A S A_A S O_O_N
اثاثہ,A S S A_A S A_A
اثاثے,A S A_A S A_Y
اثارب,A S A_A R I B
اثارت,I S A_A R A T_D
اثارتوں,I S A_A R A T_D O_O_N
اثارتیں,I S A_A R A T_D A_Y_N
اثافی,A S A_A F I_I
اثاقل,I S A_A Q I L
اثاناسیوسی,I S A_A N A_A S I_I O_O S I_I
اثبات,A S B A_A T_D
اثباتا,I S B A_A T_D A_A
اثباتی,I S B A_A T_D I_I
اثباتیت,I S B A_A T_D I_I J A T_D
اثباتیوں,I S B A_A T_D I_I O_O_N
اثباتیین,I S B A_A T_D I_I J A N
اثخان,I S X A_A N
اثدی,A S D_D I_I
اثر,A S A R
اثرات,A S R A_A T_D
اثرانداز,A S A R A N D_D A_A Z
اثربند,A S A R B A N D_D
اثردہام,A S A R D_D A H A_A M
اثرورسوخ,A S A R O_O R A S O_O X
اثروں,A S R O_O_N
اثرگیر,A S A R G I_I R
اثرہ,A S R A_A
اثری,A S R I_I
اثریات,A S R I_I J A_A T_D
اثغار,A S G_G A_A R
اثقال,I S Q A_A L
اثقل,A S Q A L
اثل,A S L
اثلاج,A S L A_A D_Z
اثم,I S M
اثمار,A S M A_A R
اثمان,A S M A_A N
اثمد,A S M A D_D
اثمر,A S M A R
اثنا,A S N A_A
اثناء,A S N A_A
اثنائی,A S N A_A I_I
اثنائیت,I S N A_A I J A T_D
اثنان,A S N A_A N
اثنین,A S N I_I N
اثنینیت,A S N I_I N I J A T_D
اثوہ,A S V A_A
اثیر,A S I_I R
اثیری,A S I_I R I_I
اثیل,A S I_I L
اثیم,A S I_I M
اثیمہ,A S I_I M A_A
اثینہ,A S I_I N A_A
اج,A D_Z
اجاب,U D_Z A_A B
اجابت,I D_Z A_A B A T_D
اجات,U D_Z A_A T_D
اجاتی,U D_Z A_A T_D I_I
اجاج,U D_Z A_A D_Z
اجارا,I D_Z A_A R A_A
اجارت,I D_Z A_A R A T_D
اجاروں,I D_Z A_A R O_O_N
اجارہ,I D_Z A_A R A_A
اجارے,I D_Z A_A R A_Y
اجازت,I D_Z A_A Z A T_D
اجازتنامہ,I D_Z A_A Z T_D I N A_A M A_A
اجازتوں,I D_Z A_A Z A T_D O_O_N
اجازتیں,I D_Z A_A Z A T_D A_Y_N
اجازہ,A D_Z A_A Z A_A
اجاص,A D_Z A_A S
اجاصیہ,I D_Z A_A S I_I
اجاغ,A D_Z A_A G_G
اجال,U D_Z A_A L
اجالا,U D_Z A_A L A_A
اجالنا,U D_Z A_A L N A_A
اجالوں,U D_Z A_A L O_O_N
اجالی,U D_Z A_A L I_I
اجالیاں,U D_Z A_A L I J A_A_N
اجالیوں,U D_Z A_A L I_I O_O_N
اجالے,U D_Z A_A L A_Y
اجام,I D_Z A_A M
اجان,A D_Z A_A N
اجانا,A D_Z A_A N A_A
اجانب,A D_Z A_A N I B
اجانی,A D_Z A_A N I_I
اجانے,A D_Z A_A N A_Y
اجاڑ,U D_Z A_A R_R
اجاڑا,U D_Z A_A R_R A_A
اجاڑتا,U D_Z A_A R_R T_D A_A
اجاڑتی,U D_Z A_A R_R T_D I_I
اجاڑتیں,U D_Z A_A R_R T_D A_Y_N
اجاڑتے,U D_Z A_A R_R T_D A_Y
اجاڑنا,U D_Z A_A R_R N A_A
اجاڑنی,U D_Z A_A R_R N I_I
اجاڑنے,U D_Z A_A R_R N A_Y
اجاڑو,U D_Z A_A R_R O_O
اجاڑوں,U D_Z A_A R_R O_O_N
اجاڑی,U D_Z A_A R_R I_I
اجاڑیو,U D_Z A_A R_R I_I O_O
اجاڑیں,U D_Z A_A R_R A_Y_N
اجاڑیے,U D_Z A_A R_R I_I A_Y
اجاڑے,U D_Z A_A R_R A_Y
اجاکل,A D_Z A_A K A L
اجاگر,U D_Z A_A G A R
اجبار,A D_Z B A_A R
اجبک,A D_Z B A K
اجبکی,A D_Z B A K I_I
اجت,U D_Z T_D
اجتبا,I D_Z T_D I B A_A
اجتماع,I D_Z T_D I M A_A
اجتماعات,I D_Z T_D I M A_A A_A T_D
اجتماعوں,I D_Z T_D I M A_A O_O_N
اجتماعی,I D_Z T_D I M A_A I_I
اجتماعیات,I D_Z T_D I M A_A I J A_A T_D
اجتماعیت,I D_Z T_D I M A_A I J A T_D
اجتماعیین,I D_Z T_D I M A_A I_I J A N
اجتناب,I D_Z T_D I N A_A B
اجتنابی,I D_Z T_D I N A_A B I_I
اجتنابیت,I D_Z T_D I N A_A B I J A T_D
اجتہاد,I D_Z T_D A_Y H A_A D_D
اجتہادی,I D_Z T_D I H A_A D_D I_I
اجتہادیت,I D_Z T_D I H A_A D_D I J A T_D
اجداد,A D_Z D_D A_A D_D
اجدہام,A D_Z D_D I H A_A M
اجدہامی,I D_Z D_D A H A_A M I_I
اجذع,A D_Z Z A_A
اجذم,A D_Z Z A M
اجذمات,A D_Z Z I M A_A T_D
اجذمہ,A D_Z Z I M A_A
اجر,A D_Z R
اجرا,U D_Z R A_A
اجراء,I D_Z R A_A
اجراؤں,U D_Z R A_A O_O_N
اجرائی,I D_Z R A_A I_I
اجرائیگی,I D_Z R A_A I_I G I_I
اجراب,A D_Z R A_A B
اجراف,A D_Z R A_A F
اجرام,I D_Z R A_A M
اجران,I D_Z R A_A N
اجرت,U D_Z R A T_D
اجرتوں,U D_Z R A T_D O_O_N
اجرتی,U D_Z R A T_D I_I
اجرتیوں,U D_Z R A T_D I_I O_O_N
اجرتیں,U D_Z R A T_D A_Y_N
اجرد,A D_Z R A D_D
اجرمثل,A D_Z R A_Y M A S L
اجرمسمی,A D_Z R M A S M I_I
اجروں,U D_Z R O_O_N
اجرک,A D_Z R A K
اجرہ,A D_Z R A_A
اجری,U D_Z R I_I
اجزا,A D_Z Z A_A
اجزاء,I D_Z Z A_A
اجزائے,A D_Z Z A_A A_Y
اجزال,A D_Z Z A_A L
اجزام,I D_Z Z A_A M
اجس,A D_Z A S
اجساد,A D_Z S A_A D_D
اجسام,I D_Z S A_A M
اجسامی,I D_Z S A_A M I_I
اجفار,A D_Z F A_A R
اجفان,I D_Z F A_A N
اجل,A D_Z A L
اجلا,A D_Z L A N
اجلاء,U D_Z L A_A
اجلاس,A D_Z L A_A S
اجلاسوں,I D_Z L A_A S O_O_N
اجلاف,A D_Z L A_A F
اجلال,A D_Z L A_A L
اجلح,A D_Z L A H
اجلد,A D_Z L A D_D
اجلواز,A D_Z A V V A_A Z
اجلوں,A D_Z L O_O_N
اجلہ,A D_Z L A_A
اجلی,A D_Z L I_I
اجلے,U D_Z L A_Y
اجماع,I D_Z M A_A
اجماعا,I D_Z M A_A A N
اجماعی,I D_Z M A_A I_I
اجمال,I D_Z M A_A L
اجمالا,I D_Z M A_A L A_A
اجمالی,I D_Z M A_A L I_I
اجمر,A D_Z M A R
اجمع,A D_Z M A_A
اجمعین,A D_Z M A I_I N
اجمل,A D_Z M A L
اجمود,A D_Z M U_U D_D
اجمیر,A D_Z M I_I R
اجنا,A D_Z N A_A
اجناس,A D_Z N A_A S
اجنب,A D_Z I N B
اجنبی,A D_Z N A B I_I
اجنبیت,A D_Z N A B I_I J A T_D
اجنبیوں,A D_Z N A B J O_O_N
اجنحہ,A D_Z N I H A_A
اجنسیائی,I D_Z N I S J A_A I_I
اجنما,A D_Z N U M A_A
اجنوں,U D_Z N O_O_N
اجنٹ,I D_Z A N T
اجنٹی,I D_Z A N T I_I
اجنڈا,A D_Z D A D A_A
اجنہ,A D_Z N A_A
اجو,A D_Z V
اجوائن,A D_Z V A_A I N
اجواد,A D_Z V A_A D_D
اجواف,A D_Z V A_A F
اجوان,A D_Z V A_A N
اجوبن,A D_Z V A B A N
اجوبہ,A D_Z V A B A_A
اجوت,A D_Z V A T_D
اجود,A D_Z V A D_D
اجور,U D_Z V A R
اجورا,A D_Z V A R A_A
اجورہ,A D_Z V A R A_A
اجوف,A D_Z V A F
اجولی,A D_Z V A L I_I
اجوکیشن,A D_Z U_U K A_Y S_H A N
اجوکیشنسٹ,I D_Z O_O K A_Y S_H A N S T
اجوکیشنل,A D_Z O_O K A_Y S_H N A L
اجوگ,U D_Z V A G
اجوگی,U D_Z V A G I_I
اجوں,U D_Z U_U_N
اجٹ,A D_Z A T
اجڈ,A D_Z A D
اجڈوں,U D_Z D O_O_N
اجڑ,U D_Z A R_R
اجڑا,U D_Z R_R A_A
اجڑتا,U D_Z A R_R T_D A_A
اجڑتی,U D_Z A R_R T_D I_I
اجڑتیں,U D_Z A R_R T_D I_I_N
اجڑتے,U D_Z A R_R T_D A_Y
اجڑنا,U D_Z A R_R N A_A
اجڑنی,U D_Z A R_R N I_I
اجڑنے,U D_Z A R_R N A_Y
اجڑو,U D_Z R_R O_O
اجڑوائی,U D_Z R_R A V A_A I_I
اجڑوائیاں,U D_Z R_R V A_A I J A_A_N
اجڑوائیں,U D_Z R_R V A_A A_Y_N
اجڑوائے,U D_Z R_R V A_A A_Y
اجڑوانا,U D_Z R_R A V A_A N A_A
اجڑوایا,U D_Z R_R A V A_A J A_A
اجڑوں,U D_Z R_R O_O_N
اجڑی,U D_Z R_R I_I
اجڑیو,U D_Z R_R I_I O_O
اجڑیں,U D_Z R_R A_Y_N
اجڑیے,U D_Z R_R I_I A_Y
اجڑے,U D_Z R_R A_Y
اجکل,A D_Z K A L
اجگر,A D_Z G A R
اجگروں,U D_Z G A R O_O_N
اجہاز,I D_Z H A_A Z
اجہر,A D_Z H A R
اجہل,A D_Z H A L
اجی,U D_Z I_I
اجیارا,U D_Z J A_A R A_A
اجیال,A D_Z J A_A L
اجیالا,U D_Z J A_A L A_A
اجیالی,A D_Z J A_A L I_I
اجیت,U D_Z I_I T_D
اجیجی,A D_Z I_I D_Z I_I
اجید,A D_Z I_I D_D
اجیر,A D_Z I_I R
اجیرن,A D_Z I_I R A N
اجیروں,A D_Z I_I R O_O_N
اجیٹن,A D_Z I_I T A N
اجیہ,A D_Z J A_A
اجے,A D_Z A_Y
احاد,I H H A_A D_D
احادی,I H A_A D_D I_I
احادیث,I H A_A D_D I_I S
احاطت,I H A_A T_D A T_D
احاطوں,I H A_A T_D O_O_N
احاطہ,I H A_A T_D A_A
احاطے,I H A_A T_D A_Y
احب,A H A B
احباب,A H B A_A B
احبار,A H B A_A R
احباری,A H B A_A R I_I
احباس,A H B A_A S
احباسات,I H B A_A S A_A T_D
احبدل,A H B A_Y D_D I L
احتبا,I H T_D I B A_A
احتباس,A_Y H T_D I B A_A S
احتباسات,I H T_D I B A_A S A_A T_D
احتباسی,A_Y H T_D I B A_A S I_I
احتباط,I H T_D I B A_A T_D
احتجاب,I H T_D I D_Z A_A B
احتجاج,I H T_D I D_Z A_A D_Z
احتجاجا,I H T_D I D_Z A_A D_Z A N
احتجاجی,I H T_D I D_Z A_A D_Z I_I
احتداد,I H T_D A_Y D_D A_A D_D
احتدادات,I H T_D A_Y D_D A_A D_D A_A T_D
احتدادی,I H T_D A_Y D_D A_A D_D I_I
احتراز,I H T_D I R A_A Z
احترازا,I H T_D I R A_A Z A N
احترازی,I H T_D I R A_A Z I_I
احتراس,I H T_D I R A_A S
احتراسات,I H T_D I R A_A S A_A T_D
احتراسی,I H T_D I R A_A S I_I
احتراق,I H T_D I R A_A Q
احتراقی,I H T_D I R A_A Q I_I
احتراقیہ,I H T_D I R A_A Q I J A_A
احترام,I H T_D I R A_A M
احتراما,I H T_D I R A_A M A N
احترامی,I H T_D I R A_A M I_I
احتزال,I H T_D I Z A_A L
احتساب,A_Y H T_D I S A_A B
احتسابا,A_Y H T_D I S A_A B A N
احتسابی,A_Y H T_D I S A_A B I_I
احتسابیت,A_Y H T_D I S A_A B I J A T_D
احتساس,A_Y H T_D I S A_A S
احتساسات,I H T_D I S A_A S A_A T_D
احتساسی,I H T_D I S A_A S I_I
احتشام,I H T_D I S_H A_A M
احتشاما,I H T_D I S_H A_A M A N
احتشامی,I H T_D I S_H A_A M I_I
احتشامیت,I H T_D I S_H A_A M I_I J A T_D
احتصار,I H T_D I S A_A R
احتصارات,I H T_D I S A_A R A_A T_D
احتصاری,I H T_D I S A_A R I_I
احتضار,I H T_D A_Y Z A_A R
احتضارات,I H T_D I Z A_A R A_A T_D
احتضاری,I H T_D I Z A_A R I_I
احتظاظ,I H T_D A_Y Z A_A Z
احتفال,I H T_D A_Y F A_A L
احتقار,I H T_D I Q A_A R
احتقان,I H T_D I Q A_A N
احتلافی,I H T_D I L A_A F I_I
احتلافیہ,I H T_D I L A_A F I J A_A
احتلال,A_Y H T_D A_Y L A_A L
احتلام,I H T_D I L A_A M
احتلاما,I H T_D I L A_A M A N
احتلامی,I H T_D I L A_A M I_I
احتلامیت,I H T_D I L A_A M I_I J A T_D
احتما,I H T_D I M A_A
احتمال,I H T_D I M A_A L
احتمالا,I H T_D I M A_A L A N
احتمالات,I H T_D I M A_A L A_A T_D
احتمالوں,I H T_D I M A_A L O_O_N
احتمالی,I H T_D I M A_A L I_I
احتمالیت,I H T_D I M A_A L I J A T_D
احتمام,I H T_D I M A_A M
احتوا,I H T_D I V A_A
احتکار,I H T_D I K A_A R
احتکاک,I H T_D I K A_A K
احتکاکی,I H T_D I K A_A K I_I
احتیاج,I H T_D I J A_A D_Z
احتیاجا,I H T_D I J A_A D_Z A N
احتیاجات,I H T_D I J A_A D_Z A_A T_D
احتیاجوں,I H T_D I J A_A D_Z O_O_N
احتیاجی,I H T_D I J A_A D_Z I_I
احتیاز,I H T_D I J A_A Z
احتیاط,I H T_D I J A_A T_D
احتیاطا,I H T_D I J A_A T_D A N
احتیاطوں,I H T_D I J A_A T_D O_O_N
احتیاطی,I H T_D I J A_A T_D I_I
احتیاطیں,I H T_D I J A_A T_D A_Y_N
احتیال,I H T_D I J A_A L
احثابحثی,I H S A_A B A H S I_I
احجار,I H D_Z A_A R
احجاز,I H D_Z A_A Z
احد,A H A D_D
احداث,A H D_D A_A S
احداثی,I H D_D A_A S I_I
احداق,I H D_D A_A Q
احدی,A H D_D I_I
احدیت,A H D_D I J J A T_D
احراد,A H R A_A D_D
احرار,A H R A_A R
احرارالبقول,A H R A_A R U L B A Q U_U L
احراری,A H R A_A R I_I
احراز,A H R A_A Z
احرازی,A H R A_A Z I_I
احراض,A H R A_A Z
احراف,A H R A_A F
احراق,I H R A_A Q
احرام,A H R A_A M
احراموں,I H R A_A M O_O_N
احرامی,I H R A_A M I_I
احریض,A H R I_I Z
احزاب,A H Z A_A B
احزام,I H Z A_A M
احزان,A H Z A_A N
احزم,A H I Z M
احزن,A H Z A N
احسا,A H S A_A
احساس,A H S A_A S
احساسات,I H S A_A S A_A T_D
احساساتی,I H S A_A S A_A T_D I_I
احساسی,I H S A_A S I_I
احساسیت,I H S A_A S I_I J A T_D
احسان,A H S A_A N
احسانات,I H S A_A N A_A T_D
احسانوں,I H S A_A N O_O_N
احسانی,I H S A_A N I_I
احساں,A H S A_A_N
احسف,A H S I F
احسن,A H S A N
احسنت,A H S A N A T_D
احشا,A H S_H A_A
احشائی,A H S_H A_A I_I
احشائیات,I H S_H A_A I J A_A T_D
احشام,A H S_H A_A M
احصا,A H S A_A
احصاء,A H S A_A
احصائی,I H S A_A I_I
احصار,A H S A_A R
احصان,I H S A_A N
احصفہ,A H S I F A_A
احضار,A H Z A_A R
احضاری,A H Z A_A R I_I
احظاظ,I H Z A_A Z
احفاد,I H F A_A D_D
احفاظ,A H F A_A Z
احفصہ,A H F I S A_A
احفظ,A H F A Z
احق,A H Q
احقاب,A H Q A_A B
احقاق,I H Q A_A Q
احقر,A H Q A R
احقرالافراد,A H H A R A_Y A F F I R A_A D_D
احقرالانام,A H Q A R A L A N A M
احقرالعباد,A H Q A R A_Y L A B A_A D_D
احلا,A H L A_A
احلاقیات,I H L A_A Q I J A_A T_D
احلالہ,A H L A_A L A_A
احلام,A H L A_A M
احلم,A H L A M
احلیل,A H L I_I L
احماد,A H M A_A D_D
احمال,A H M A_A L
احمد,A H M A D_D
احمدو,A H M A D_D U_U
احمدوں,A H M A D_D O_O_N
احمدی,A H M A D_D I_I
احمدیت,A H M A D_D I_I J A T_D
احمدیوں,A H M A D_D I_I O_O_N
احمدیہ,A H M A D_D I_I J A_A
احمر,A H M A R
احمرار,A H M A R A_A R
احمران,A H M A R A_A N
احمروں,A H M A R O_O_N
احمری,A H M A R I_I
احمرین,A H M A R I_I N
احمش,A H M I S_H
احمق,A H M A Q
احمقائی,A H M A Q A_A I_I
احمقانہ,A H M I Q A_A N A_A
احمقو,A H M A Q U_U
احمقوں,A H M A Q O_O_N
احمقی,A H M A Q I_I
احمقیاں,A H M A Q I J A_A_N
احمقیوں,A H M A Q I_I O_O_N
احناف,A H N A_A F
احنسیہ,I H N I S J A_A
احنف,A H N A F
احنفی,A H N A F I_I
احواد,I H V A_A D_D
احوال,A H V A_A L
احوالات,A H V A_A L A_A T_D
احوج,A H V A D_Z
احور,A H V A R
احوط,A H V A T_D
احول,A H V U_U L
احولی,A H V A L I_I
احکام,A H K A_A M
احکامات,I H K A_A M A_A T_D
احکامیہ,I H K A_A M I J A_A
احکاک,A H K A_A K
احکم,A H K A M
احیا,A H J A_A
احیاء,A H J A_A
احیائے,A H J A_A A_Y
احیاز,A H J A_A Z
احیان,A H J A_A N
احیانا,I H J A_A N A_A
اخ,A X
اخاذ,A X A_A Z
اخاذہ,A X A_A Z A_A
اخاذیت,I X A_A Z I_I J A T_D
اخاہ,A X A_A
اخبات,A X X A_A T_D
اخبار,A X B A_A R
اخبارات,A X B A_A R A_A T_D
اخباروں,A X B A_A R O_O_N
اخبارچی,A X B A_A R T_S I_I
اخباری,A X B A_A R I_I
اخباریوں,A X B A_A R I_I O_O_N
اخبث,A X B U S
اخبثوں,A X B A S O_O_N
اخبر,A X B A R
اخت,I X X
اختبار,I X T_D I B A_A R
اختبارات,I X T_D I B A_A R A_A T_D
اختباری,I X T_D I B A_A R I_I
اختباریت,I X T_D I B A_A R I J A T_D
اختباط,I X T_D I B A_A T_D
اختباطی,I X T_D I B A_A T_D I_I
اختتام,I X T_D I T_D A_A M
اختتامی,I X T_D I T_D A_A M I_I
اختتامیوں,I X T_D I T_D A_A M I_I O_O_N
اختتامیہ,I X T_D I T_D A_A M I J A_A
اختتامیے,I X T_D I T_D A_A M I_I A_Y
اختر,I X T_D A R
اختراع,I X T_D I R A_A
اختراعات,I X T_D I R A_A A_A T_D
اختراعوں,I X T_D I R A_A O_O_N
اختراعی,I X T_D I R A_A I_I
اختراعیت,I X T_D I R A_A I J A T_D
اختراعیہ,I X T_D I R A_A I J A_A
اختران,I X T_D I R A_A N
اخترشمار,I X T_D I R S_H I M A_A R
اخترشناس,I X T_D I R S_H A N A_A S
اختروں,I X T_D A R O_O_N
اختری,I X T_D I R I_I
اختزال,I X T_D I Z A_A L
اختصار,I X T_D I S A_A R
اختصارا,I X T_D I S A_A R A_A
اختصارات,I X T_D I S A_A R A_A T_D
اختصاروں,I X T_D I S A_A R O_O_N
اختصاری,I X T_D I S A_A R I_I
اختصاریہ,I X T_D I S A_A R I J A_A
اختصاص,I X T_D I S A_A S
اختصاصی,I X T_D I S A_A S I_I
اختصاصیہ,I X T_D I S A_A S I_I J A_A
اختصام,I X T_D I S A_A M
اختصامات,I X T_D I S A_A M A_A T_D
اختصامی,I X T_D I S A_A M I_I
اختصامیت,I X T_D I S A_A M I_I J A T_D
اختفا,I X T_D I F A_A
اختفائی,I X T_D I F A_A I_I
اختفائیت,I X T_D I F A_A I J A T_D
اختلاج,I X T_D I L A_A D_Z
اختلاجات,I X T_D I L A_A D_Z A_A T_D
اختلاجی,I X T_D I L A_A D_Z I_I
اختلاجیت,I X T_D I L A_A D_Z I J A T_D
اختلاط,I X T_D I L A_A T_D
اختلاطی,I X T_D I L A_A T_D I_I
اختلاف,I X T_D I L A_A F
اختلافات,I X T_D I L A_A F A_A T_D
اختلافوں,I X T_D I L A_A F O_O_N
اختلافی,I X T_D I L A_A F I_I
اختلاق,I X T_D I L A_A Q
اختلاقات,I X T_D I L A_A Q A_A T_D
اختلاقی,I X T_D I L A_A Q I_I
اختلاقیت,I X T_D I L A_A Q I J A T_D
اختلال,I X T_D I L A_A L
اختمار,I X T_D I M A_A R
اختماری,I X T_D I M A_A R I_I
اختناق,I X T_D I N A_A Q
اختہ,I X T_D A_A
اختی,I X T_D I_I
اختیار,I X T_D I J A_A R
اختیارات,I X T_D I J A_A R A_A T_D
اختیاروں,I X T_D I J A_A R O_O_N
اختیاری,I X T_D I J A_A R I_I
اختیاریہ,I X T_D I J A_A R I J A_A
اخذ,A X A Z
اخذالبرد,A X Z A_A L B A_Y R D_D
اخذالشمس,A X Z A_A L I S_H M A S
اخر,A X A R
اخراج,I X R A_A D_Z
اخراجا,I X R A_A D_Z A_A
اخراجات,I X R A_A D_Z A_A T_D
اخراجی,I X R A_A D_Z I_I
اخراجیت,I X R A_A D_Z I_I J A T_D
اخرب,A X R A B
اخرج,A X R I D_Z
اخرف,A X A R F
اخرم,A X R A M
اخرمی,A X A R M I_I
اخروئی,A X R O_O I_I
اخروٹ,A X R U_U T
اخروٹوں,A X R U_U T O_O_N
اخروٹی,A X R O_O T I_I
اخروی,A X R A V I_I
اخرہ,A X R A_A
اخری,A X R I_I
اخزر,A X Z A R
اخس,A X A S
اخشم,A X S_H A M
اخص,A X A S
اخصا,A X S A_A
اخصاب,A X S A_A B
اخصاص,I X S A_A S
اخضر,A X Z A R
اخضری,A X Z A R I_I
اخضع,A X Z A_A
اخضعہ,A X Z I A_A
اخطم,A X T_D A M
اخطمہ,A X T_D I M A_A
اخفا,I X A F A_A
اخفائے,A X F A_A I A_Y
اخفات,I X X A_A T_D
اخفش,A X F I S_H
اخفی,A X A F I_I
اخفیا,A X A F I J A_A
اخل,A X A L
اخلا,A X L A_A
اخلاص,I X L A_A S
اخلاط,A X L A_A T_D
اخلاف,A X L A_A F
اخلاق,I X L A_A Q
اخلاقا,I X L A_A Q A N
اخلاقی,I X L A_A Q I_I
اخلاقیات,I X L A_A Q I J A_A T_D
اخلاقیاتی,I X L A_A Q I J A_A T_D I_I
اخلاقیت,I X L A_A Q I_I J A T_D
اخلال,A X L A_A L
اخلق,A X L A Q
اخلیں,A X L A_Y_N
اخمار,A X M A_A R
اخمس,A X M A S
اخنی,A X N I_I
اخنیاں,A X N I J A_A_N
اخوات,I X V A_A T_D
اخوال,A X V A_A L
اخوان,I X V A_A N
اخوانی,I X V A_A N I_I
اخوانیت,A X V A_A N I_I J A T_D
اخواں,A X V A_A_N
اخوت,U X U_U V A T_D
اخورا,A X U_U R A_A
اخوشی,A X O_O S_H I_I
اخون,A X U_U N
اخوند,A X V I N D_D
اخونزادہ,A X V I N Z A_A D_D A_Y
اخوی,A X V I_I
اخویت,A X V I_I J A T_D
اخوین,A X V I_I N
اخپخ,A X A P X
اخگر,A X G A R
اخگریں,A X G A R A_Y_N
اخگریہ,A X G A R J A_A
اخی,A X I_I
اخیا,A X J A_A
اخیات,A X J A_A T_D
اخیار,A X J A_A R
اخیاف,A X J A_A F
اخیافی,A X J A_A F I_I
اخیر,A X I_I R
اخیردان,A X I_I R D_D A_A N
اخیرمین,A X I_I R M I_I N
اخیروس,A X I_I R O_O S
اخیروقت,A X I_I R O_O Q A T_D
اخیرکو,A X I_I R K O_O
اخیرہ,A X I_I R A_A
اخیری,A X I_I R I_I
